Race,Income
65.8,40500
76.5,64600
67.8,46800
78.3,38300
63.6,57700
70.9,54000
21.6,64000
79.7,55800
63.8,60900
69.7,44400
55.9,46400
23.9,63000
72.9,43500
74.7,53000
81.3,44600
87.6,48000
84.1,48300
85,40100
63.4,42500
93,45800
59.2,68900
75.6,62100
78.5,45400
79.7,55500
61.5,36900
80.9,44300
80.6,42700
62.3,48400
89.9,51000
70.2,61000
74.4,67700
67.2,42100
62.8,54100
76.2,43300
81.8,48700
70.6,45100
75.9,42100
81.3,46600
78.9,49300
57.4,52300
78.4,42000
70.8,45900
67.6,41500
70.6,48600
92.9,54700
65.4,49400
67.9,60700
97.2,55600
84.4,38200
89.2,49000