State,Unemployment Rate ,White,Population,,,,,,,,
Alabama,3.9,64.1,5024279,,,,,,,,
Alaska,6.6,59.4,733391,,,,,,,,
Arizona,4.8,60.4,7151502,,,,,,,,
Arkansas,3.7,70.2,3011524,,,,,,,,
California,4.2,41.2,39538223,,,,,,,,
Colorado,3.3,70.7,5773714,,,,,,,,
Columbia,4.1,39.6,3605944,,,,,,,,
Connecticut,3.8,66.4,689545,,,,,,,,
Delaware,5.6,60.4,989948,,,,,,,,
Florida,3.6,57.7,21538187,,,,,,,,
Georgia,3.9,51.9,10711908,,,,,,,,
Hawaii,2.4,22.9,1455271,,,,,,,,
Idaho,2.8,82.1,1839106,,,,,,,,
Illinois,4.3,61.4,12801989,,,,,,,,
Indiana,3.4,77.2,6785528,,,,,,,,
Iowa,2.5,84.5,3271616,,,,,,,,
Kansas,3.4,77,2937880,,,,,,,,
Kentucky,4.3,82.4,4505836,,,,,,,,
Louisiana,4.9,57.1,4657757,,,,,,,,
Maine,3.4,90.8,1362359,,,,,,,,
Maryland,3.9,48.7,6177224,,,,,,,,
Massachusetts,3.3,69.6,7029917,,,,,,,,
Michigan,4.1,73.9,10077331,,,,,,,,
Minnesota,2.9,77.5,5706494,,,,,,,,
Mississippi,3.2,56,2961279,,,,,,,,
Montana,3.7,84.5,1084225,,,,,,,,
Nebraska,2.8,78.4,1961504,,,,,,,,
Nevada,4.6,51.2,3104614,,,,,,,,
New Hampshire,2.5,88.3,1377529,,,,,,,,
New Jersey,4.1,55,9288994,,,,,,,,
New Mexico,4.9,51,2117522,,,,,,,,
New York,4.1,55.2,20201249,,,,,,,,
North Carolina,3.9,62.2,10439388,,,,,,,,
North Dakota,2.6,82.9,779094,,,,,,,,
Ohio,4.6,77,11799448,,,,,,,,
Oklahoma,3.4,63.5,3959353,,,,,,,,
Oregon,4.2,74.8,4237356,,,,,,,,
Pennsylvania,4.3,75,13002700,,,,,,,,
Rhode Island,4.1,71.3,1097379,,,,,,,,
South Carolina,3.4,63.4,5118425,,,,,,,,
South Dakota,3,80.7,886667,,,,,,,,
Tennessee,3.5,72.2,6910840,,,,,,,,
Texas,3.9,50.1,29145505,,,,,,,,
Utah,3.1,78.7,3205958,,,,,,,,
Vermont,2.7,89.8,643077,,,,,,,,
Virginia,3,60.3,8631393,,,,,,,,
Washington,4.5,66.6,7705281,,,,,,,,
West Virginia,5.3,89.8,1793716,,,,,,,,
Wisconsin,3,80.4,5893718,,,,,,,,
Wyoming,4.1,84.7,576581,,,,,,,,