Date,Sex,% with Degree,,,,,,,,
1980,Male,20.90,,,,,,,,
1981,Male,21.10,,,,,,,,
1982,Male,21.90,,,,,,,,
1983,Male,23,,,,,,,,
1984,Male,22.90,,,,,,,,
1985,Male,23.10,,,,,,,,
1986,Male,23.20,,,,,,,,
1987,Male,23.60,,,,,,,,
1988,Male,24,,,,,,,,
1989,Male,24.50,,,,,,,,
1990,Male,24.40,,,,,,,,
1991,Male,24.30,,,,,,,,
1992,Male,24.30,,,,,,,,
1993,Male,24.80,,,,,,,,
1994,Male,25.10,,,,,,,,
1995,Male,26,,,,,,,,
1996,Male,26,,,,,,,,
1997,Male,26.20,,,,,,,,
1998,Male,26.50,,,,,,,,
1999,Male,27.50,,,,,,,,
2000,Male,27.80,,,,,,,,
2001,Male,28.20,,,,,,,,
2002,Male,28.50,,,,,,,,
2003,Male,28.90,,,,,,,,
2004,Male,29.40,,,,,,,,
2005,Male,28.90,,,,,,,,
2006,Male,29.20,,,,,,,,
2007,Male,29.50,,,,,,,,
2008,Male,30.10,,,,,,,,
2009,Male,30.10,,,,,,,,
2010,Male,30.30,,,,,,,,
2011,Male,30.80,,,,,,,,
2012,Male,31.40,,,,,,,,
2013,Male,32,,,,,,,,
2014,Male,31.90,,,,,,,,
2015,Male,32.30,,,,,,,,
2016,Male,33.20,,,,,,,,
2017,Male,33.70,,,,,,,,
2018,Male,34.60,,,,,,,,
2019,Male,35.40,,,,,,,,
2020,Male,36.70,,,,,,,,
1980,Female,13.60,,,,,,,,
1981,Female,13.40,,,,,,,,
1982,Female,14,,,,,,,,
1983,Female,15.10,,,,,,,,
1984,Female,15.70,,,,,,,,
1985,Female,16,,,,,,,,
1986,Female,16.10,,,,,,,,
1987,Female,16.50,,,,,,,,
1988,Female,17,,,,,,,,
1989,Female,18.10,,,,,,,,
1990,Female,18.40,,,,,,,,
1991,Female,18.80,,,,,,,,
1992,Female,18.60,,,,,,,,
1993,Female,19.20,,,,,,,,
1994,Female,19.60,,,,,,,,
1995,Female,20.20,,,,,,,,
1996,Female,21.40,,,,,,,,
1997,Female,21.70,,,,,,,,
1998,Female,22.40,,,,,,,,
1999,Female,23.10,,,,,,,,
2000,Female,23.60,,,,,,,,
2001,Female,24.30,,,,,,,,
2002,Female,25.10,,,,,,,,
2003,Female,25.70,,,,,,,,
2004,Female,26.10,,,,,,,,
2005,Female,26.50,,,,,,,,
2006,Female,26.90,,,,,,,,
2007,Female,28,,,,,,,,
2008,Female,28.80,,,,,,,,
2009,Female,29.10,,,,,,,,
2010,Female,29.60,,,,,,,,
2011,Female,30.10,,,,,,,,
2012,Female,30.60,,,,,,,,
2013,Female,31.40,,,,,,,,
2014,Female,32,,,,,,,,
2015,Female,32.70,,,,,,,,
2016,Female,33.70,,,,,,,,
2017,Female,34.60,,,,,,,,
2018,Female,35.30,,,,,,,,
2019,Female,36.60,,,,,,,,
2020,Female,38.30,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,