Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.230435515505,1126.68334010717,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5396.21586434732,5332.16047456847,6494.38571288581
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,637.85592120941,622.740922945281,3681.84469060495,3838.17387997786,3986.23162376713,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145,4604.64632355695,4266.01807420946,4670.008798001
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20600.3752789827,23098.8865077401,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47549.2080494546,46599.1113350938,45189.3669003126,51767.7885723646
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2366.52982128614,1621.24296080247,7432.47876568071,7681.93461995882,7901.78587639382,7074.68102325059,7569.47881476759,8366.29322145748,9446.70077185518,9879.26853313318,10079.2033812203,11634.9710182244
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,..,4887.71371564115,13401.6566203283,13837.7316376587,13762.3728630599,11933.3773788281,12527.7398569824,13629.289592247,15227.5600968096,15311.766903695,14132.4865609499,17398.7659768108
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,3941.50309406941,6029.03819275358,19870.8012123403,20133.1691431353,19890.9199056648,17829.6983223668,18575.2320271915,20636.199952435,23419.7356136502,23660.1488068317,22933.4995909236,26378.4999575477
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,..,4070.60902410208,17403.2053254767,19056.0019226989,20261.0667303886,17402.0376128079,18295.3429322114,20437.765376736,23063.5638175675,23397.8782560944,23054.3584905978,27280.6584396993
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,28364.6450765922,24345.9148217032,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49988.9108461845,48628.641762105,49160.8371522596,53982.6142735261
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,1614.6401223992,749.908534993961,4421.81824228013,4623.74572473419,4739.18833846421,4014.18594419329,4062.16988757379,4357.00093554628,4722.0424231414,4696.15058555612,4255.74299321254,5042.38552777387
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,25384.9150226302,32096.3722613695,45995.5478789467,49804.9829978371,54576.7448146565,52951.6815110898,61987.9263620283,72010.1490316258,74469.8040591559,68941.4622272394,59264.0340913145,68383.7653362902
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,49373.6102661458,74853.938729354,149010.224898665,173030.208279363,178864.851913785,167313.266280449,165642.386275555,171253.964253797,176499.402554134,169049.156850326,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,33465.478207919,48659.5988753233,112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,117254.740352682,113218.713349678,116356.158037286,135682.794274648
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,84303.8784345827,82365.492364536,157520.219426533,177673.74536842,189432.370013147,165989.505113832,170028.655717864,167517.059727856,185978.609251356,189487.14712838,173688.189360292,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,21290.8603827045,26214.498549887,50070.1416045904,52198.8975607454,52900.537415323,45193.4032187971,46039.1059284098,48675.2223350213,53044.5324352253,52476.2732533327,52396.0322099525,58061.0016679359
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,28242.943738533,38131.4606116242,101524.141851985,102913.450843674,97019.1827527462,74355.5158575643,70460.5605323322,75496.7540581998,82267.809316159,75719.7528965342,67329.6777910967,89202.7505381438
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,7884.61798756332,11526.3720667968,20563.7136012629,21653.1959752225,22103.7009703321,19250.1065376852,19991.9724878805,21490.429863104,23562.5545228191,23330.817288932,22194.566114935,24262.1809352574
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,3492.71020507813,1771.59411621094,15420.875,15974.64453125,14095.6484375,9313.013671875,8704.8984375,10720.3330078125,11287.3603515625,11536.2509765625,10161.982421875,12172.78515625
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,..,914.785719885861,6015.94522756969,6755.07367461629,6600.05680854589,5588.98072768556,5765.20076202711,6292.54362926707,7252.40185773992,7417.20364852201,7730.69174637698,9214.99354640982
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,..,10201.3035366727,22641.805122503,23503.2824850255,24247.1733184083,20890.1664304173,21678.3594670629,23514.0254604147,26116.8563558793,25942.9547741436,25489.5002284083,29200.8198783863
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,30593.6724447761,29624.9126748618,58037.8213192173,61126.9431963979,60020.3604576572,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51939.4297445291,52300.2061994993,60238.9865644922
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,19095.4669984608,28223.0675706515,42686.8000524926,43713.8141242308,47787.2412984884,45404.5677734722,41499.5557033073,40857.7555829627,43646.9519711493,43070.4983595888,41098.0786527828,47334.3553149875
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,1568.53662109375,658.3486328125,4004.80444335938,4187.73974609375,3104.64331054688,2124.66235351563,2187.73046875,2638.326171875,3096.56176757813,3661.45629882813,3751.74072265625,4835.57177734375
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,39607.8190856429,38952.0342005572,86547.6708907265,88109.4867524037,89684.7075795936,84776.1421659748,83073.2800824812,83352.0886533412,86388.4049527184,85334.5194620909,87100.4148213751,93457.4403976155
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,13804.8767869937,14749.6874248766,28322.8092495057,29067.809460022,29500.7894328615,25742.3688346767,26523.3482221547,28170.1678643302,30364.5799435622,29554.4905170087,27056.4217512166,30115.7058866792
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,2405.53516040785,5426.62428119306,17429.829750132,18208.4175936578,18655.7901089421,16342.2162621093,16512.2929859005,17538.048584386,19389.9821594449,19303.5456581383,19266.5135736247,21087.8461010057
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..,36604.4933810621,49988.4636311454,51570.9839547083,50817.3308247802,42662.9024081737,43828.2315473835,45399.0289841537,48996.5929877,47727.1348939463,45515.7576957013,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,1680.70562287227,1659.90763954548,8507.10477456436,9547.85215096612,10043.6774497614,8969.14892146193,9548.58740298268,10807.0091671993,12398.9819787666,12899.3461112897,12956.5662477568,14861.9091737933
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,1731.20953112388,4501.45406742273,13097.2708482174,13696.4663046143,14271.3058536202,12578.4954734362,12447.4395912808,13864.6817579973,15468.4822194105,15732.2031311754,15742.4537256368,17840.9210506674
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,2354.27525606399,1861.89806549945,4728.30814189843,5241.05834548355,5495.73504918897,4861.55397141497,5149.58907435906,5450.4928808666,6108.74010831698,6070.38805358275,5846.46589856854,6720.89628528501
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,..,1627.07263304394,6586.7212793222,7188.86244459584,7387.87103632234,6517.18961381857,7033.43800629478,7803.36257940844,8850.37840418667,8909.89015110329,7694.6337585059,9367.01688364836
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,..,440.672030653269,3045.73061215068,3322.04998035759,3328.79433016779,2732.46072997894,2880.43528952658,3509.68682892959,4230.62696856829,4492.10574015947,4525.75965363511,5314.53146055569
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,..,3293.22997867086,14367.709424872,15729.6524666512,16551.018202078,14263.9645773495,15008.3132445526,16885.4073948373,19186.1812814178,19575.768481407,20232.3020358588,23433.3909073769
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,..,3361.64086880275,13847.3379393194,15007.4918561719,15742.3913381908,13786.4567953114,14331.7515885049,15695.1151541059,17865.0310947642,17926.841589919,17703.9534432332,20642.1679221253
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,..,..,3410.85977956608,3704.78422059665,3902.67601270818,3520.7664492744,3759.56024604446,4009.38098680368,4384.0488917319,4416.10835754636,4310.81118337317,4986.58246912142
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,20825.7842228307,20137.5912217673,35051.5212697703,35560.0814062288,35565.7213771496,30242.3861352184,30960.7315088902,32406.7203150134,34622.1696664741,33673.4754474483,31834.9726184046,35551.2849900071
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,14031.3025675469,26334.5672050501,49026.0230672702,51533.0345651701,55599.850799684,62012.4849258149,62861.6391157902,69774.0289724953,79107.6049934367,80886.6157387104,85422.5428682266,99152.1025718236
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,..,4624.28165670295,12989.1802815896,13719.9505393621,14298.833667395,12720.7120220668,13107.3779137744,14623.6966492311,16427.3727611478,16735.6597794761,16075.9732662505,18772.6732920667
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,9600.18523506603,12072.9293569196,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19133.7577636254,17647.2326882744,20276.5446744075
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,22303.9613266628,23694.7604830673,43855.8544658618,46298.9229177341,48023.8699845462,41103.2564363768,42136.1207907991,44652.5891722719,47973.6076235097,46794.8992915603,46252.6893044892,50801.7867105308
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,21793.8355375183,22419.6948211313,40872.3624615688,42605.0443782179,43068.5487241739,36652.9223052178,37062.5335723829,38781.0494870836,41592.795896432,40578.6442850534,39037.1226309074,43518.5385130851
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26891.4464489571,30743.5476816354,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59775.7350964515,61063.3164304238,67803.0471046403
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,9641.5751953125,14388.34765625,28912.15625,27729.193359375,27163.33203125,23408.3359375,24605.919921875,26608.875,29334.111328125,29206.076171875,27681.56640625,30798.4765625
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,..,1484.17605712863,4777.06691952937,5129.6635340307,5330.35507751851,4729.69005416208,4994.97162308122,5394.26913970341,6070.35298018619,6119.76235142981,6082.36673041923,6916.43831507661
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,2124.76794393518,1276.2880341,6953.13251493684,7998.12523878099,8341.39967861093,5967.05220384914,5039.68188628499,5785.67067254068,6360.06247301284,6837.71782606351,6555.42681826316,7303.69626589884
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.989623313,24625.6007227434,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51486.5755014824,50114.4011099728,48588.6593847921,53267.9327491132
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.8523130643,21854.2468030614,38684.5665299216,39538.3552064403,41302.3821426181,35770.9186530024,37474.7458403618,38964.662014361,41793.3188365378,40898.4179063904,37416.6977203275,43047.6862704034
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/16/2022,,,,,,,,,,,,,,,