,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Country,GDP/Capita,,,
,,,,,Luxembourg,118680,,,
,,,,,Ireland,102154,,,
,,,,,Switzerland,70793,,,
,,,,,Norway,65689,,,
,,,,,Denmark,58187,,,
,,,,,Netherlands,56761,,,
,,,,,Austria,53945,,,
,,,,,Iceland,53463,,,
,,,,,Sweden,53050,,,
,,,,,Germany,52931,,,
,,,,,Belgium,51602,,,
,,,,,Finland,48937,,,
,,,,,Euro Area,46301,,,
,,,,,United Kingdom,45839,,,
,,,,,France,45187,,,
,,,,,Malta,44395,,,
,,,,,European Union,44024,,,
,,,,,Italy,41937,,,
,,,,,Cyprus,40791,,,
,,,,,Slovenia,39970,,,
,,,,,Czech Republic,39778,,,
,,,,,Lithuania,38958,,,
,,,,,Estonia,38207,,,
,,,,,Spain,38098,,,
,,,,,Poland,34363,,,
,,,,,Hungary,33518,,,
,,,,,Portugal,33514,,,
,,,,,Latvia,31689,,,
,,,,,Slovakia,31498,,,
,,,,,Turkey,31252,,,
,,,,,Croatia,31047,,,
,,,,,Romania,30855,,,
,,,,,Greece,29428,,,
,,,,,Russia,27970,,,
,,,,,Bulgaria,23432,,,
,,,,,Montenegro,20567,,,
,,,,,Serbia,19762,,,
,,,,,Belarus,19751,,,
,,,,,Macedonia,16464,,,
,,,,,Bosnia and Herzegovina,15635,,,
,,,,,Albania,14520,,,
,,,,,Moldova,14234,,,
,,,,,Ukraine,12944,,,
,,,,,Kosovo,11579,,,