Date ,.,Wage,,,,,,
2000-01-01,College Degree,921,,,,,,
2001-01-01,College Degree,941,,,,,,
2002-01-01,College Degree,964,,,,,,
2003-01-01,College Degree,987,,,,,,
2004-01-01,College Degree,1013,,,,,,
2005-01-01,College Degree,1040,,,,,,
2006-01-01,College Degree,1074,,,,,,
2007-01-01,College Degree,1115,,,,,,
2008-01-01,College Degree,1136,,,,,,
2009-01-01,College Degree,1144,,,,,,
2010-01-01,College Degree,1150,,,,,,
2011-01-01,College Degree,1165,,,,,,
2012-01-01,College Degree,1194,,,,,,
2013-01-01,College Degree,1195,,,,,,
2014-01-01,College Degree,1229,,,,,,
2015-01-01,College Degree,1259,,,,,,
2016-01-01,College Degree,1280,,,,,,
2017-01-01,College Degree,1319,,,,,,
2018-01-01,College Degree,1368,,,,,,
2019-01-01,College Degree,1420,,,,,,
2020-01-01,College Degree,1451,,,,,,
2000-01-01,Average,575,,,,,,
2001-01-01,Average,596,,,,,,
2002-01-01,Average,608,,,,,,
2003-01-01,Average,620,,,,,,
2004-01-01,Average,638,,,,,,
2005-01-01,Average,651,,,,,,
2006-01-01,Average,671,,,,,,
2007-01-01,Average,695,,,,,,
2008-01-01,Average,722,,,,,,
2009-01-01,Average,740,,,,,,
2010-01-01,Average,747,,,,,,
2011-01-01,Average,756,,,,,,
2012-01-01,Average,768,,,,,,
2013-01-01,Average,777,,,,,,
2014-01-01,Average,791,,,,,,
2015-01-01,Average,809,,,,,,
2016-01-01,Average,833,,,,,,
2017-01-01,Average,860,,,,,,
2018-01-01,Average,886,,,,,,
2019-01-01,Average,917,,,,,,
2020-01-01,Average,984,,,,,,
2000-01-01,Below degree,505,,,,,,
2001-01-01,Below degree,521,,,,,,
2002-01-01,Below degree,535,,,,,,
2003-01-01,Below degree,554,,,,,,
2004-01-01,Below degree,573,,,,,,
2005-01-01,Below degree,583,,,,,,
2006-01-01,Below degree,596,,,,,,
2007-01-01,Below degree,605,,,,,,
2008-01-01,Below degree,618,,,,,,
2009-01-01,Below degree,627,,,,,,
2010-01-01,Below degree,627,,,,,,
2011-01-01,Below degree,638,,,,,,
2012-01-01,Below degree,652,,,,,,
2013-01-01,Below degree,651,,,,,,
2014-01-01,Below degree,668,,,,,,
2015-01-01,Below degree,677,,,,,,
2016-01-01,Below degree,692,,,,,,
2017-01-01,Below degree,712,,,,,,
2018-01-01,Below degree,730,,,,,,
2019-01-01,Below degree,747,,,,,,
2020-01-01,Below degree,783,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,