Date ,Sex,Wage,,,,
1979-01-01,Male,401,,,,
1980-01-01,Male,380,,,,
1981-01-01,Male,373,,,,
1982-01-01,Male,377,,,,
1983-01-01,Male,380,,,,
1984-01-01,Male,377,,,,
1985-01-01,Male,378,,,,
1986-01-01,Male,382,,,,
1987-01-01,Male,382,,,,
1988-01-01,Male,380,,,,
1989-01-01,Male,379,,,,
1990-01-01,Male,368,,,,
1991-01-01,Male,362,,,,
1992-01-01,Male,357,,,,
1993-01-01,Male,354,,,,
1994-01-01,Male,353,,,,
1995-01-01,Male,353,,,,
1996-01-01,Male,355,,,,
1997-01-01,Male,360,,,,
1998-01-01,Male,367,,,,
1999-01-01,Male,372,,,,
2000-01-01,Male,373,,,,
2001-01-01,Male,379,,,,
2002-01-01,Male,378,,,,
2003-01-01,Male,378,,,,
2004-01-01,Male,378,,,,
2005-01-01,Male,370,,,,
2006-01-01,Male,369,,,,
2007-01-01,Male,370,,,,
2008-01-01,Male,371,,,,
2009-01-01,Male,382,,,,
2010-01-01,Male,378,,,,
2011-01-01,Male,370,,,,
2012-01-01,Male,372,,,,
2013-01-01,Male,370,,,,
2014-01-01,Male,368,,,,
2015-01-01,Male,378,,,,
2016-01-01,Male,381,,,,
2017-01-01,Male,384,,,,
2018-01-01,Male,387,,,,
2019-01-01,Male,394,,,,
2020-01-01,Male,418,,,,
2021-01-01,Male,405,,,,
1979-01-01,Female,250,,,,
1980-01-01,Female,244,,,,
1981-01-01,Female,240,,,,
1982-01-01,Female,247,,,,
1983-01-01,Female,253,,,,
1984-01-01,Female,255,,,,
1985-01-01,Female,257,,,,
1986-01-01,Female,264,,,,
1987-01-01,Female,267,,,,
1988-01-01,Female,266,,,,
1989-01-01,Female,265,,,,
1990-01-01,Female,265,,,,
1991-01-01,Female,269,,,,
1992-01-01,Female,271,,,,
1993-01-01,Female,272,,,,
1994-01-01,Female,270,,,,
1995-01-01,Female,266,,,,
1996-01-01,Female,267,,,,
1997-01-01,Female,269,,,,
1998-01-01,Female,280,,,,
1999-01-01,Female,284,,,,
2000-01-01,Female,286,,,,
2001-01-01,Female,289,,,,
2002-01-01,Female,295,,,,
2003-01-01,Female,300,,,,
2004-01-01,Female,303,,,,
2005-01-01,Female,300,,,,
2006-01-01,Female,298,,,,
2007-01-01,Female,296,,,,
2008-01-01,Female,297,,,,
2009-01-01,Female,306,,,,
2010-01-01,Female,307,,,,
2011-01-01,Female,304,,,,
2012-01-01,Female,301,,,,
2013-01-01,Female,303,,,,
2014-01-01,Female,304,,,,
2015-01-01,Female,307,,,,
2016-01-01,Female,312,,,,
2017-01-01,Female,315,,,,
2018-01-01,Female,314,,,,
2019-01-01,Female,322,,,,
2020-01-01,Female,345,,,,
2021-01-01,Female,337,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,